item_id,order_id,product_id,quantity,unit_price,discount_pct_x,final_price,line_total,cost_total,customer_id,order_date,status,payment_method,discount_pct_y,shipping_cost,first_name,last_name,email,region,segment,acquisition_channel,registration_date,age,gender,product_name,category,subcategory,cost_price,rating,year,month,month_name,quarter,profit
ITEM0000001015,ORD0000001,PROD0016,2,517.31,0.1,465.58,931.16,667.9,CUST00720,2024-07-13,Delivered,Net Banking,0.1,3.87,Aarav,Verma,user720@email.com,South,B2C,Organic Search,2024-06-12,53,Male,Sofa Plus,Home & Garden,Sofa,333.95,3.2,2024,7,Jul,2024Q3,263.26
ITEM0000001142,ORD0000001,PROD0143,1,873.41,0.1,786.07,786.07,408.82,CUST00720,2024-07-13,Delivered,Net Banking,0.1,3.87,Aarav,Verma,user720@email.com,South,B2C,Organic Search,2024-06-12,53,Male,Bookshelf Ultra,Home & Garden,Bookshelf,408.82,4.0,2024,7,Jul,2024Q3,377.25000000000006
ITEM0000001095,ORD0000001,PROD0096,5,215.28,0.1,193.75,968.75,473.55,CUST00720,2024-07-13,Delivered,Net Banking,0.1,3.87,Aarav,Verma,user720@email.com,South,B2C,Organic Search,2024-06-12,53,Male,Sofa Ultra,Home & Garden,Sofa,94.71,4.7,2024,7,Jul,2024Q3,495.2
ITEM0000001024,ORD0000001,PROD0025,1,646.45,0.1,581.81,581.81,265.02,CUST00720,2024-07-13,Delivered,Net Banking,0.1,3.87,Aarav,Verma,user720@email.com,South,B2C,Organic Search,2024-06-12,53,Male,Dumbbell Set Elite,Sports,Dumbbell Set,265.02,3.3,2024,7,Jul,2024Q3,316.78999999999996
ITEM0000002044,ORD0000002,PROD0045,5,912.46,0.0,912.46,4562.3,1924.95,CUST00010,2024-04-08,Delivered,Net Banking,0.0,8.45,Kavya,Joshi,user10@email.com,East,B2B,Referral,2023-07-30,59,Male,Camera Basic,Electronics,Camera,384.99,2.5,2024,4,Apr,2024Q2,2637.3500000000004
ITEM0000002048,ORD0000002,PROD0049,2,1909.55,0.0,1909.55,3819.1,1170.12,CUST00010,2024-04-08,Delivered,Net Banking,0.0,8.45,Kavya,Joshi,user10@email.com,East,B2B,Referral,2023-07-30,59,Male,Jeans Pro,Clothing,Jeans,585.06,4.6,2024,4,Apr,2024Q2,2648.98
ITEM0000002127,ORD0000002,PROD0128,3,2448.56,0.0,2448.56,7345.68,2315.55,CUST00010,2024-04-08,Delivered,Net Banking,0.0,8.45,Kavya,Joshi,user10@email.com,East,B2B,Referral,2023-07-30,59,Male,T-Shirt Basic,Clothing,T-Shirt,771.85,3.6,2024,4,Apr,2024Q2,5030.13
ITEM0000002046,ORD0000002,PROD0047,1,1473.13,0.0,1473.13,1473.13,670.05,CUST00010,2024-04-08,Delivered,Net Banking,0.0,8.45,Kavya,Joshi,user10@email.com,East,B2B,Referral,2023-07-30,59,Male,Monitor Elite,Electronics,Monitor,670.05,5.0,2024,4,Apr,2024Q2,803.0800000000002
ITEM0000004074,ORD0000004,PROD0075,1,433.01,0.05,411.36,411.36,344.08,CUST00063,2024-10-25,Delivered,Credit Card,0.05,12.11,James,Miller,user63@email.com,West,B2C,Affiliate,2023-06-30,52,Female,Foundation Ultra,Beauty,Foundation,344.08,2.7,2024,10,Oct,2024Q4,67.28000000000003
ITEM0000005086,ORD0000005,PROD0087,5,1509.16,0.0,1509.16,7545.8,2940.5,CUST00715,2023-08-06,Delivered,Credit Card,0.0,7.46,Priya,Taylor,user715@email.com,Central,B2C,Paid Search,2022-10-30,57,Male,Monitor Pro,Electronics,Monitor,588.1,4.4,2023,8,Aug,2023Q3,4605.3
ITEM0000005116,ORD0000005,PROD0117,4,318.31,0.0,318.31,1273.24,612.08,CUST00715,2023-08-06,Delivered,Credit Card,0.0,7.46,Priya,Taylor,user715@email.com,Central,B2C,Paid Search,2022-10-30,57,Male,Face Mask Elite,Beauty,Face Mask,153.02,4.3,2023,8,Aug,2023Q3,661.16
