customer_id,first_name,last_name,email,region,segment,acquisition_channel,registration_date,age,gender
CUST00001,Sneha,Sharma,user1@email.com,East,B2C,Paid Search,2024-09-20,65,Male
CUST00002,Sophia,Davis,user2@email.com,North,B2C,Organic Search,2024-11-17,19,Male
CUST00003,Pooja,Miller,user3@email.com,Central,B2C,Paid Search,2022-12-06,63,Other
CUST00004,Meera,Shah,user4@email.com,West,B2C,Affiliate,2024-04-26,18,Male
CUST00005,Amit,Verma,user5@email.com,South,B2C,Affiliate,2023-10-19,39,Male
CUST00006,Suresh,Kumar,user6@email.com,East,B2B,Direct,2022-05-25,34,Male
CUST00007,Shreya,Kumar,user7@email.com,West,B2C,Social Media,2023-12-15,58,Other
CUST00008,Kiran,Joshi,user8@email.com,North,B2C,Paid Search,2023-07-16,36,Male
CUST00009,Isabella,Kumar,user9@email.com,West,B2C,Referral,2022-12-28,41,Male
CUST00010,Kavya,Joshi,user10@email.com,East,B2B,Referral,2023-07-30,59,Male
CUST00011,James,Gupta,user11@email.com,Central,B2B,Paid Search,2024-08-04,47,Female
CUST00012,Mia,Davis,user12@email.com,South,B2C,Affiliate,2023-02-24,21,Male
CUST00013,Ava,Smith,user13@email.com,West,B2C,Paid Search,2022-02-19,54,Other
CUST00014,Arjun,Garcia,user14@email.com,West,B2B,Referral,2023-05-04,47,Male
CUST00015,Vikram,Shah,user15@email.com,Central,B2C,Referral,2023-02-16,55,Female
CUST00016,Suresh,Johnson,user16@email.com,South,Enterprise,Paid Search,2024-06-25,50,Female
CUST00017,William,Patel,user17@email.com,North,B2C,Paid Search,2022-05-22,61,Female
CUST00018,Rahul,Williams,user18@email.com,West,B2C,Email,2024-07-15,51,Female
CUST00019,Isabella,Sharma,user19@email.com,North,B2C,Direct,2024-05-09,35,Other
CUST00020,Sneha,Reddy,user20@email.com,West,B2C,Organic Search,2023-06-13,64,Other
CUST00021,Sanjay,Gupta,user21@email.com,Central,Enterprise,Affiliate,2023-02-14,58,Female
CUST00022,Sanjay,Taylor,user22@email.com,South,B2C,Affiliate,2024-09-19,28,Other
CUST00023,Mia,Sharma,user23@email.com,Central,B2C,Organic Search,2024-04-03,25,Female
CUST00024,Pooja,Patel,user24@email.com,South,B2B,Organic Search,2023-04-23,23,Other
CUST00025,Liam,Singh,user25@email.com,Central,B2B,Paid Search,2024-01-25,60,Female
CUST00026,Ananya,Verma,user26@email.com,Central,B2B,Email,2024-05-04,31,Other
CUST00027,Oliver,Reddy,user27@email.com,West,Enterprise,Referral,2022-11-09,41,Female
CUST00028,Nikhil,Kumar,user28@email.com,South,B2C,Social Media,2024-03-15,19,Other
CUST00029,Pooja,Wilson,user29@email.com,South,B2C,Referral,2024-05-10,58,Male
CUST00030,Rahul,Patel,user30@email.com,East,B2C,Paid Search,2022-12-22,35,Other
CUST00031,Arjun,Davis,user31@email.com,South,B2B,Direct,2024-01-25,54,Female
CUST00032,Ava,Garcia,user32@email.com,West,B2C,Organic Search,2023-01-13,60,Female
CUST00033,Meera,Brown,user33@email.com,West,B2B,Organic Search,2023-07-05,61,Other
CUST00034,Sneha,Patel,user34@email.com,West,B2B,Affiliate,2024-09-30,24,Male
CUST00035,Arjun,Davis,user35@email.com,West,B2C,Paid Search,2022-10-25,35,Female
CUST00036,Isabella,Singh,user36@email.com,West,B2B,Affiliate,2023-01-24,53,Male
CUST00037,James,Davis,user37@email.com,North,Enterprise,Affiliate,2022-03-20,33,Male
CUST00038,Anjali,Garcia,user38@email.com,South,B2B,Organic Search,2023-09-24,28,Female
CUST00039,Suresh,Verma,user39@email.com,West,B2C,Referral,2022-01-04,64,Other
CUST00040,Oliver,Garcia,user40@email.com,South,B2C,Paid Search,2024-10-25,21,Other
CUST00041,Priya,Smith,user41@email.com,North,B2C,Email,2024-04-22,50,Other
CUST00042,Priya,Miller,user42@email.com,North,B2B,Organic Search,2022-09-02,56,Male
CUST00043,Isabella,Shah,user43@email.com,West,B2C,Direct,2024-11-14,33,Other
CUST00044,Priya,Taylor,user44@email.com,North,B2C,Direct,2024-07-12,54,Other
CUST00045,Mia,Verma,user45@email.com,South,B2C,Social Media,2023-05-07,33,Female
CUST00046,Vikram,Reddy,user46@email.com,West,B2C,Affiliate,2023-09-07,22,Male
CUST00047,Deepa,Wilson,user47@email.com,North,B2C,Paid Search,2023-12-13,50,Female
CUST00048,Mia,Johnson,user48@email.com,North,B2B,Social Media,2022-07-25,36,Male
CUST00049,Liam,Davis,user49@email.com,East,B2C,Affiliate,2023-11-12,59,Other
CUST00050,Emma,Davis,user50@email.com,East,Enterprise,Organic Search,2022-01-13,26,Female
CUST00051,Noah,Kumar,user51@email.com,Central,B2C,Social Media,2022-06-29,56,Male
CUST00052,Arjun,Verma,user52@email.com,Central,B2C,Affiliate,2023-06-17,21,Male
CUST00053,Meera,Verma,user53@email.com,North,B2C,Affiliate,2024-09-12,26,Other
CUST00054,Ananya,Jones,user54@email.com,Central,B2B,Direct,2023-02-11,18,Male
CUST00055,Noah,Mehta,user55@email.com,Central,B2C,Social Media,2022-04-27,55,Other
CUST00056,Meera,Mehta,user56@email.com,North,B2C,Affiliate,2022-08-19,20,Female
CUST00057,Emma,Shah,user57@email.com,North,B2C,Direct,2022-11-23,44,Other
CUST00058,Mia,Shah,user58@email.com,South,Enterprise,Affiliate,2022-08-29,29,Female
CUST00059,Ananya,Smith,user59@email.com,West,B2B,Affiliate,2022-02-08,65,Male
CUST00060,Ananya,Kumar,user60@email.com,West,B2B,Affiliate,2023-02-19,48,Male
CUST00061,Liam,Jones,user61@email.com,East,B2C,Affiliate,2022-11-07,32,Male
CUST00062,Emma,Joshi,user62@email.com,West,B2C,Affiliate,2022-02-06,22,Female
CUST00063,James,Miller,user63@email.com,West,B2C,Affiliate,2023-06-30,52,Female
CUST00064,Sneha,Verma,user64@email.com,South,B2C,Social Media,2022-02-12,20,Male
CUST00065,Meera,Johnson,user65@email.com,East,B2C,Direct,2024-07-15,25,Female
CUST00066,Arjun,Verma,user66@email.com,North,B2B,Organic Search,2024-06-14,51,Other
CUST00067,Arjun,Johnson,user67@email.com,West,B2C,Referral,2024-11-07,39,Other
CUST00068,Emma,Kumar,user68@email.com,East,B2C,Referral,2023-05-03,44,Female
CUST00069,Oliver,Reddy,user69@email.com,Central,B2C,Email,2023-09-18,60,Female
CUST00070,Sophia,Gupta,user70@email.com,Central,B2C,Email,2024-11-18,53,Male
CUST00071,Divya,Joshi,user71@email.com,West,B2B,Direct,2023-04-18,59,Female
CUST00072,Nikhil,Jones,user72@email.com,South,B2C,Affiliate,2023-12-24,65,Male
CUST00073,Rahul,Reddy,user73@email.com,Central,B2C,Direct,2024-10-20,39,Male
CUST00074,Emma,Reddy,user74@email.com,South,B2B,Paid Search,2022-12-31,19,Male
CUST00075,Anjali,Taylor,user75@email.com,North,B2C,Referral,2023-01-16,54,Male
CUST00076,Anjali,Williams,user76@email.com,South,B2C,Referral,2023-08-20,18,Male
CUST00077,Pooja,Gupta,user77@email.com,Central,B2C,Direct,2023-10-23,33,Male
CUST00078,Vikram,Jones,user78@email.com,Central,Enterprise,Direct,2023-12-11,38,Female
CUST00079,Liam,Miller,user79@email.com,West,B2B,Direct,2024-08-09,46,Male
CUST00080,Nikhil,Verma,user80@email.com,South,B2B,Social Media,2024-01-08,51,Female
CUST00081,Pooja,Verma,user81@email.com,West,B2C,Social Media,2024-08-31,33,Female
CUST00082,Amit,Davis,user82@email.com,North,B2C,Paid Search,2023-06-06,42,Other
CUST00083,Oliver,Joshi,user83@email.com,North,B2C,Social Media,2022-08-26,52,Female
CUST00084,Priya,Joshi,user84@email.com,West,B2C,Affiliate,2023-10-08,55,Other
CUST00085,Isabella,Wilson,user85@email.com,West,B2C,Social Media,2022-01-31,37,Female
CUST00086,Shreya,Davis,user86@email.com,Central,B2B,Email,2023-10-13,32,Female
CUST00087,Anjali,Sharma,user87@email.com,West,B2C,Referral,2023-11-09,43,Other
CUST00088,Liam,Jones,user88@email.com,South,Enterprise,Direct,2022-09-14,19,Female
CUST00089,Kiran,Sharma,user89@email.com,North,B2C,Paid Search,2024-07-08,47,Male
CUST00090,Rohit,Williams,user90@email.com,East,B2C,Social Media,2022-03-20,39,Female
CUST00091,William,Brown,user91@email.com,East,B2B,Email,2023-03-09,19,Other
CUST00092,Priya,Johnson,user92@email.com,South,B2C,Affiliate,2024-04-17,59,Male
CUST00093,Pooja,Joshi,user93@email.com,North,B2C,Paid Search,2022-02-18,26,Female
CUST00094,Sneha,Wilson,user94@email.com,South,B2C,Social Media,2024-11-05,41,Male
CUST00095,Deepa,Kumar,user95@email.com,South,Enterprise,Organic Search,2024-07-30,55,Male
CUST00096,Kiran,Williams,user96@email.com,West,Enterprise,Paid Search,2023-04-30,22,Other
